ticker,yf_symbol,rows,first_date,last_date,missing_pct,nonpositive_close,extreme_moves,status
ALKEM,ALKEM.NS,885,2022-07-01,2026-01-30,0.0,0,0,OK
AUROPHARMA,AUROPHARMA.NS,885,2022-07-01,2026-01-30,0.0,0,0,OK
BIOCON,BIOCON.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
LAURUSLABS,LAURUSLABS.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
LUPIN,LUPIN.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
COFORGE,COFORGE.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
MPHASIS,MPHASIS.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
PERSISTENT,PERSISTENT.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
TATAELXSI,TATAELXSI.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
AUBANK,AUBANK.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
IDFCFIRSTB,IDFCFIRSTB.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
INDUSINDBK,INDUSINDBK.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
FEDERALBNK,FEDERALBNK.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
ABCAPITAL,ABCAPITAL.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
ICICIGI,ICICIGI.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
LTF,LTF.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
LICHSGFIN,LICHSGFIN.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
M&MFIN,M&MFIN.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
ASHOKLEY,ASHOKLEY.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
BHARATFORG,BHARATFORG.NS,885,2022-07-01,2026-01-30,0.0,0,0,OK
HEROMOTOCO,HEROMOTOCO.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
COLPAL,COLPAL.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
DABUR,DABUR.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
MARICO,MARICO.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
NATIONALUM,NATIONALUM.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
NMDC,NMDC.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
NHPC,NHPC.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
OIL,OIL.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
CESC,CESC.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
GODREJPROP,GODREJPROP.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
OBEROIRLTY,OBEROIRLTY.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
PRESTIGE,PRESTIGE.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
PIIND,PIIND.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
COROMANDEL,COROMANDEL.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
AARTIIND,AARTIIND.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
HAVELLS,HAVELLS.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
VOLTAS,VOLTAS.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
BLUESTARCO,BLUESTARCO.NS,886,2022-07-01,2026-01-30,-0.11,0,0,OK
^NSEI,^NSEI,885,2022-07-01,2026-01-30,0.0,0,0,OK
